stage,block_size,block_row,block_col,channel,before_sum,after_sum,abs_difference
substitution,8,24,8,1,7680,7680,0
substitution,8,24,8,2,9600,9600,0
substitution,8,24,16,0,5760,5760,0
substitution,8,24,16,1,7680,7680,0
substitution,8,24,16,2,9600,9600,0
substitution,8,24,24,0,5760,5760,0
substitution,8,24,24,1,7680,7680,0
substitution,8,24,24,2,9600,9600,0
substitution,8,24,32,0,5440,5440,0
substitution,8,24,32,1,8960,8960,0
substitution,8,24,32,2,10880,10880,0
substitution,8,24,40,0,4480,4480,0
substitution,8,24,40,1,12800,12800,0
substitution,8,24,40,2,14720,14720,0
substitution,8,24,48,0,4480,4480,0
substitution,8,24,48,1,12800,12800,0
substitution,8,24,48,2,14720,14720,0
substitution,8,24,56,0,5760,5760,0
substitution,8,24,56,1,7680,7680,0
substitution,8,24,56,2,9600,9600,0
substitution,8,32,0,0,7680,7680,0
substitution,8,32,0,1,6560,6560,0
substitution,8,32,0,2,9760,9760,0
substitution,8,32,8,0,13440,13440,0
substitution,8,32,8,1,3200,3200,0
substitution,8,32,8,2,10240,10240,0
substitution,8,32,16,0,13440,13440,0
substitution,8,32,16,1,3200,3200,0
substitution,8,32,16,2,10240,10240,0
substitution,8,32,24,0,5760,5760,0
substitution,8,32,24,1,7680,7680,0
substitution,8,32,24,2,9600,9600,0
substitution,8,32,32,0,5440,5440,0
substitution,8,32,32,1,8960,8960,0
substitution,8,32,32,2,10880,10880,0
substitution,8,32,40,0,4480,4480,0
substitution,8,32,40,1,12800,12800,0
substitution,8,32,40,2,14720,14720,0
substitution,8,32,48,0,4480,4480,0
substitution,8,32,48,1,12800,12800,0
substitution,8,32,48,2,14720,14720,0
substitution,8,32,56,0,5760,5760,0
substitution,8,32,56,1,7680,7680,0
substitution,8,32,56,2,9600,9600,0
substitution,8,40,0,0,7680,7680,0
substitution,8,40,0,1,6560,6560,0
substitution,8,40,0,2,9760,9760,0
substitution,8,40,8,0,13440,13440,0
substitution,8,40,8,1,3200,3200,0
substitution,8,40,8,2,10240,10240,0
substitution,8,40,16,0,13440,13440,0
substitution,8,40,16,1,3200,3200,0
substitution,8,40,16,2,10240,10240,0
substitution,8,40,24,0,5760,5760,0
substitution,8,40,24,1,7680,7680,0
substitution,8,40,24,2,9600,9600,0
substitution,8,40,32,0,5600,5600,0
substitution,8,40,32,1,8320,8320,0
substitution,8,40,32,2,10240,10240,0
substitution,8,40,40,0,5120,5120,0
substitution,8,40,40,1,10240,10240,0
substitution,8,40,40,2,12160,12160,0
substitution,8,40,48,0,5120,5120,0
substitution,8,40,48,1,10240,10240,0
substitution,8,40,48,2,12160,12160,0
